x,y,,,,,,
543,99.75,,,,,,
544,150.92,,,,,,
545,1085.55,,,,,,
546,736.01,,,,,,
547,407.88,,,,,,
548,595.46,,,,,,
549,98.34,,,,,,
550,971.79,,,,,,
551,435.27,,,,,,
552,558.95,,,,,,
553,578.33,,,,,,
554,1121.6,,,,,,
555,1212,,,,,,
556,24.26,,,,,,
557,1306.79,,,,,,
558,990.22,,,,,,
559,98.03,,,,,,
560,1349.84,,,,,,
561,102.79,,,,,,
562,905.36,,,,,,
563,302.06,,,,,,
564,1011.59,,,,,,
565,232.49,,,,,,
566,1294.15,,,,,,
567,205.37,,,,,,
568,947.71,,,,,,
569,665.45,,,,,,
570,751.46,,,,,,
571,273.58,,,,,,
572,147.71,,,,,,
573,1471.66,,,,,,
574,237.19,,,,,,
575,1186.42,,,,,,
576,959.3,,,,,,
577,119.02,,,,,,
578,263.02,,,,,,
579,41.93,,,,,,
580,1200.61,,,,,,
581,36.3,,,,,,
582,132.67,,,,,,
583,1240.53,,,,,,
584,129.36,,,,,,
585,260.69,,,,,,
586,159.06,,,,,,
587,858.71,,,,,,
588,222.22,,,,,,
589,48.31,,,,,,
590,1192.7,,,,,,
591,140.42,,,,,,
592,238.8,,,,,,
593,542.66,,,,,,
594,81.62,,,,,,
595,1461.48,,,,,,
596,917.56,,,,,,
597,144.14,,,,,,
598,55.35,,,,,,
599,40.23,,,,,,
600,243.88,,,,,,
601,234.7,,,,,,
602,149.2,,,,,,
603,203.59,,,,,,
604,488.97,,,,,,
605,245.3,,,,,,
606,800.43,,,,,,
607,312.98,,,,,,
608,1100,,,,,,
609,794.62,,,,,,
610,617.15,,,,,,
611,48.65,,,,,,
612,893.12,,,,,,
613,1246.29,,,,,,
614,948.98,,,,,,
615,1375.99,,,,,,
616,1376.49,,,,,,
617,1509.93,,,,,,
618,564.88,,,,,,
619,214.77,,,,,,
620,33.32,,,,,,
621,173.36,,,,,,
622,831.66,,,,,,
623,97.96,,,,,,
624,326.58,,,,,,
625,576.19,,,,,,
626,118.03,,,,,,
627,516.36,,,,,,
628,104.94,,,,,,
629,383.29,,,,,,
630,597.66,,,,,,
631,508.78,,,,,,
632,1307.77,,,,,,
633,491.59,,,,,,
634,211.63,,,,,,
635,350.4,,,,,,
636,184.85,,,,,,
637,179.85,,,,,,
638,392.06,,,,,,
639,1417.2,,,,,,
640,920.56,,,,,,
641,248.77,,,,,,
642,214.75,,,,,,
643,789.6,,,,,,
644,344.73,,,,,,
645,55.89,,,,,,
646,747.5,,,,,,
647,1067.08,,,,,,
648,422.51,,,,,,
649,1128.63,,,,,,
650,747.13,,,,,,
651,371.72,,,,,,
652,27.93,,,,,,
653,730.2,,,,,,
654,238.18,,,,,,
655,56.33,,,,,,
656,887.25,,,,,,
657,254.41,,,,,,
658,1037.28,,,,,,
659,1084.63,,,,,,
660,421.86,,,,,,
661,137.71,,,,,,
