x,y,,,,,,
561,4049.65,,,,,,
562,2437.58,,,,,,
563,4054.88,,,,,,
564,6400.4,,,,,,
565,5328.27,,,,,,
566,4088.69,,,,,,
567,5039.91,,,,,,
568,7430.19,,,,,,
569,4988.71,,,,,,
570,2499.78,,,,,,
571,3359.9,,,,,,
572,1765.45,,,,,,
573,2546.71,,,,,,
574,4034.52,,,,,,
575,6542.44,,,,,,
576,3017.01,,,,,,
577,3877.02,,,,,,
578,1607.21,,,,,,
579,5136.13,,,,,,
580,3807.73,,,,,,
581,4200.03,,,,,,
582,5807.22,,,,,,
583,5323.19,,,,,,
584,3256.18,,,,,,
585,5652.68,,,,,,
586,2089.32,,,,,,
587,4677.05,,,,,,
588,2864.13,,,,,,
589,6479.68,,,,,,
590,3535.58,,,,,,
591,1717.33,,,,,,
592,2635.05,,,,,,
593,2571.01,,,,,,
594,2717.12,,,,,,
595,2949.59,,,,,,
596,3687.73,,,,,,
597,2253.32,,,,,,
598,7367.24,,,,,,
599,4226.22,,,,,,
600,4623.42,,,,,,
601,2942.84,,,,,,
602,4386.99,,,,,,
603,2170.96,,,,,,
604,2153.05,,,,,,
605,1634.01,,,,,,
606,3843.7,,,,,,
607,1629.97,,,,,,
608,2617.91,,,,,,
609,4909.56,,,,,,
610,3131.08,,,,,,
611,2356.84,,,,,,
612,2084.98,,,,,,
613,2248.07,,,,,,
614,5827.36,,,,,,
615,5465.83,,,,,,
616,3304.64,,,,,,
617,2794.24,,,,,,
618,6442.27,,,,,,
619,6086.54,,,,,,
620,3298.41,,,,,,
621,8052.55,,,,,,
622,7394.84,,,,,,
623,2744.18,,,,,,
624,2066.19,,,,,,
625,3673.4,,,,,,
626,3562.55,,,,,,
627,7500.95,,,,,,
628,2508.54,,,,,,
629,5739.86,,,,,,
630,6804.7,,,,,,
631,6832.5,,,,,,
632,3659.68,,,,,,
633,2275.94,,,,,,
634,3409.92,,,,,,
635,2771.06,,,,,,
636,6513.27,,,,,,
637,6056.14,,,,,,
638,4185.98,,,,,,
639,6234.74,,,,,,
640,5629.29,,,,,,
641,7630.56,,,,,,
642,3023.09,,,,,,
643,2594.11,,,,,,
644,5239.5,,,,,,
645,2354.99,,,,,,
646,3231.1,,,,,,
647,5010.73,,,,,,
648,3953.1,,,,,,
649,4792.04,,,,,,
650,2007.93,,,,,,
651,5880.89,,,,,,
652,5291.6,,,,,,
653,3046.03,,,,,,
654,4730.76,,,,,,
655,4347.51,,,,,,
656,2305.22,,,,,,
657,5267.16,,,,,,
658,5721.38,,,,,,
659,6813.15,,,,,,
660,1637.19,,,,,,
661,4776.46,,,,,,
662,6859.14,,,,,,
663,3871.96,,,,,,
664,2374.54,,,,,,
665,5465.31,,,,,,
666,2661.75,,,,,,
667,3491.27,,,,,,
668,1665.55,,,,,,
669,3212.29,,,,,,
670,2391.32,,,,,,
671,3540.02,,,,,,
672,8238.98,,,,,,
673,2793.34,,,,,,
674,2552.25,,,,,,
675,6122.3,,,,,,
676,1503.89,,,,,,
677,3489.5,,,,,,
678,4425.91,,,,,,
679,5556.14,,,,,,
680,7569.43,,,,,,
681,6982.9,,,,,,
682,7884.01,,,,,,
683,2874.52,,,,,,
684,3329.2,,,,,,
685,2426.17,,,,,,
686,3622.13,,,,,,
687,4730.3,,,,,,
688,4560.62,,,,,,
689,1912.69,,,,,,
690,6598.96,,,,,,
691,5790.69,,,,,,
692,3359,,,,,,
693,2736.95,,,,,,
694,2221.22,,,,,,
695,2546.24,,,,,,
696,3031.37,,,,,,
697,3170.07,,,,,,
698,5814.82,,,,,,
699,5145.12,,,,,,
700,4305.14,,,,,,
701,6741.35,,,,,,
702,4953.16,,,,,,
703,5051.12,,,,,,
704,5105.07,,,,,,
705,2832.2,,,,,,
706,7141.19,,,,,,
707,5656.17,,,,,,
708,4088.27,,,,,,
709,7065.87,,,,,,
710,3690.52,,,,,,
711,3963.24,,,,,,
712,3935.17,,,,,,
713,3865.64,,,,,,
714,2095.48,,,,,,
715,3908.65,,,,,,
716,2433.59,,,,,,
717,7512.32,,,,,,
718,2725.26,,,,,,
719,4305.67,,,,,,
720,2455.75,,,,,,
721,4060.69,,,,,,
722,5063.97,,,,,,
723,5131.25,,,,,,
724,7315.01,,,,,,
725,4233.22,,,,,,
726,3495.89,,,,,,
727,2331.4,,,,,,
728,4399.05,,,,,,
729,5262.68,,,,,,
730,4251.57,,,,,,
731,5516.3,,,,,,
